Pollinator	Percentage	Group
Lepidopterans	11.7	G1
Lepidopterans	0.0	G1
Lepidopterans	69.3	G1
Lepidopterans	6.8	G1
Lepidopterans	5.2	G1
Lepidopterans	0.0	G1
Lepidopterans	19.8	G1
Lepidopterans	9.8	G1
Lepidopterans	4.0	G1
Lepidopterans	100	G1
Dipterans	0.0	G1
Dipterans	0.0	G1
Dipterans	5.2	G1
Dipterans	0.9	G1
Dipterans	2.2	G1
Dipterans	0.7	G1
Dipterans	0.9	G1
Dipterans	1.5	G1
Dipterans	0.0	G1
Dipterans	0	G1
Coleopterans	20.0	G1
Coleopterans	19.2	G1
Coleopterans	8.9	G1
Coleopterans	39.8	G1
Coleopterans	9.7	G1
Coleopterans	25.5	G1
Coleopterans	19.8	G1
Coleopterans	4.5	G1
Coleopterans	65.6	G1
Coleopterans	0	G1
Wasps	7.5	G1
Wasps	0.0	G1
Wasps	0.5	G1
Wasps	0.5	G1
Wasps	2.1	G1
Wasps	0.0	G1
Wasps	5.7	G1
Wasps	0.0	G1
Wasps	0.4	G1
Wasps	0	G1
Bees	60.8	G1
Bees	48.5	G1
Bees	15.6	G1
Bees	40.5	G1
Bees	47.7	G1
Bees	20.7	G1
Bees	53.8	G1
Bees	68.4	G1
Bees	29.9	G1
Bees	0.0	G1
Ants	0.0	G1
Ants	32.3	G1
Ants	0.5	G1
Ants	11.5	G1
Ants	33.1	G1
Ants	53.1	G1
Ants	0.0	G1
Ants	15.8	G1
Ants	0.0	G1
Ants	0	G1
Lepidopterans	0.0	G2
Lepidopterans	0.0	G2
Lepidopterans	0.0	G2
Lepidopterans	0.5	G2
Lepidopterans	0.0	G2
Lepidopterans	0.0	G2
Lepidopterans	0.0	G2
Dipterans	27.4	G2
Dipterans	28.9	G2
Dipterans	56.5	G2
Dipterans	2.0	G2
Dipterans	0.0	G2
Dipterans	5.6	G2
Dipterans	3.2	G2
Coleopterans	12.9	G2
Coleopterans	17.5	G2
Coleopterans	4.8	G2
Coleopterans	3.5	G2
Coleopterans	13.5	G2
Coleopterans	75.9	G2
Coleopterans	0.0	G2
Wasps	1.6	G2
Wasps	0.0	G2
Wasps	0.0	G2
Wasps	3.0	G2
Wasps	11.5	G2
Wasps	0.0	G2
Wasps	0.0	G2
Bees	58.0	G2
Bees	38.1	G2
Bees	38.7	G2
Bees	91.0	G2
Bees	44.2	G2
Bees	11.9	G2
Bees	96.8	G2
Ants	0.0	G2
Ants	15.5	G2
Ants	0.0	G2
Ants	0.0	G2
Ants	30.8	G2
Ants	6.7	G2
Ants	0.0	G2
Lepidopterans	0.0	G3
Lepidopterans	2.0	G3
Lepidopterans	0.2	G3
Lepidopterans	58.8	G3
Lepidopterans	14.7	G3
Lepidopterans	0.0	G3
Lepidopterans	1.6	G3
Lepidopterans	15.3	G3
Lepidopterans	6.2	G3
Lepidopterans	0.9	G3
